  *** Tramo Revision: 942  Build: 2017/09/25 09:39:13                                                           ***
"VATASA"
  DATE            Xorig                Xint                Xlin           RESIDUALS                Mean                  TD                  EE                  TO                  LS     Reg 1 (REFF = 6)
11-2008      1510913.00          1510913.00          1510913.00        -0.285721743E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2008      1313025.00          1313025.00          1313025.00         0.582672998E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2009      1408546.00          1408546.00          1408546.00         0.107207954E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2009      1670217.00          1670217.00          1670217.00        -0.558383928E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2009      2119035.00          2119035.00          2236774.00        -0.647940112E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2009      2919033.00          2919033.00          2765381.35         0.661625247E-02      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2009      3473328.00          3473328.00          3574094.93         0.102755199E-01      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2009      3442043.00          3442043.00          3344999.10        -0.242654075E-01      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2009      4073097.00          4073097.00          4073097.00         0.807525953E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2009      3713580.00          3713580.00          3713580.00         0.766524857E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2009      3909777.00          3909777.00          3909777.00        -0.227846036E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2009      3107040.00          3107040.00          3107040.00         0.170971723E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2009      1470930.00          1470930.00          1470930.00        -0.394115335E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2009      1326070.00          1326070.00          1326070.00         0.433890977E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2010      1409398.00          1409398.00          1409398.00         0.604705874E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2010      1725431.00          1725431.00          1725431.00         0.121706858E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2010      2294022.00          2294022.00          2421483.72         0.399190095E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2010      2915631.00          2915631.00          2762158.42        -0.445289663E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2010      3847606.00          3847606.00          3921660.16         0.732194341E-01      100.000000          100.000000          100.000000          100.000000          100.000000          98.1116630    
 6-2010      3723274.00          3723274.00          3652966.04         0.225156202E-01      100.000000          100.000000          100.000000          100.000000          100.000000          101.924681    
 7-2010      4532341.00          4532341.00          4532341.00         0.653806130E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2010      3942123.00          3942123.00          3942123.00        -0.826321112E-04      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2010      4284165.00          4284165.00          4284165.00         0.823440601E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2010      3368466.00          3368466.00          3368466.00        -0.127033526E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2010      1623676.00          1623676.00          1623676.00         0.231796800E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2010      1354282.00          1354282.00          1354282.00        -0.526693267E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2011      1506529.00          1506529.00          1506529.00         0.118380672E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2011      1751348.00          1751348.00          1751348.00        -0.421862200E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2011      2395831.00          2395831.00          2528949.49         0.189598849E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2011      3450628.00          3450628.00          3268994.32         0.110575022          100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2011      3894193.00          3894193.00          4007169.91        -0.530787030E-01      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2011      4390473.00          4390473.00          4266689.36         0.100081450          100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2011      5042425.00          5042425.00          5042425.00         0.236840869E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2011      4274268.00          4274268.00          4274268.00        -0.261488189E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2011      4681787.00          4681787.00          4681787.00        -0.272993161E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2011      3563285.00          3563285.00          3563285.00        -0.360362444E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2011      1638381.00          1638381.00          1638381.00        -0.649462570E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2011      1394486.00          1394486.00          1394486.00        -0.338218827E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2012      1593280.00          1593280.00          1593280.00         0.237273025E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2012      1832597.00          1832597.00          1832597.00        -0.162659724E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2012      2503146.00          2503146.00          2642227.19         0.525878129E-02      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2012      3353389.00          3353389.00          3176873.78        -0.321207888E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2012      4092234.00          4092234.00          4210956.41         0.200326730E-01      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2012      4194908.00          4194908.00          4076638.06        -0.370238124E-01      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2012      5011983.00          5011983.00          5011983.00         0.945734850E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2012      4388826.00          4388826.00          4388826.00         0.230821403E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2012      4665916.00          4665916.00          4665916.00        -0.136897441E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2012      3647158.00          3647158.00          3647158.00         0.659652169E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2012      1708879.00          1708879.00          1708879.00         0.512595361E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2012      1451468.00          1451468.00          1451468.00         0.656896563E-03      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2013      1562238.00          1562238.00          1562238.00        -0.439382347E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2013      1889334.00          1889334.00          1889334.00         0.164914639E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2013      2724405.00          2724405.00          2580998.15        -0.401773818E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 4-2013      3101563.00          3101563.00          3273893.76         0.195114570E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 5-2013      4509595.00          4509595.00          4424438.65         0.433104273E-01      100.000000          100.000000          100.000000          100.000000          100.000000          101.924681    
 6-2013      4431796.00          4431796.00          4517093.96         0.580844113E-01      100.000000          100.000000          100.000000          100.000000          100.000000          98.1116630    
 7-2013      5257440.00          5257440.00          5257440.00        -0.136558196E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2013      4796813.00          4796813.00          4796813.00         0.406967804E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2013      4912153.00          4912153.00          4912153.00        -0.257813920E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
