  *** Seats Revision: 942  Build: 2017/09/25 09:48:03                                                            ***
 "vatasa"
  DATE               Series          TrendCycle       SAser (rec *)   Calendar Adjusted        Seasonal (*)           Irregular           Preadjust             E-Resid      Sep. REG Comp.     REG Comp. in SA    Stoch TrendCycle     Stoch. SASeries
 3-2008          2647387.00          2863911.59          2890000.96          2508034.20          91.6050561          100.910970          105.556263        -0.380513023E-01      100.000000          100.000000          2863911.59          2890000.97    
 4-2008          2806388.00          2847324.28          2851107.80          2962318.08          98.4314940          100.132880          94.7362205        -0.336632983E-01      100.000000          100.000000          2847324.28          2851107.80    
 5-2008          3861914.00          2828395.12          2785861.79          3753038.36          138.625470          98.4960461          102.901007        -0.527221536E-01      100.000000          100.000000          2828395.12          2785857.36    
 6-2008          3555486.00          2808577.73          2838187.10          3658637.63          125.273136          101.054216          97.1806067         0.236915646E-02      100.000000          100.000000          2808577.73          2838186.20    
 7-2008          4068577.00          2789805.08          2763481.98          4068577.00          147.226471          99.0564539          100.000007         0.859773679E-02      100.000000          100.000000          2789805.08          2763481.98    
 8-2008          3622609.00          2773570.67          2785356.08          3622609.00          130.059098          100.424919          100.000007         0.333468218E-01      100.000000          100.000000          2773570.67          2785356.08    
 9-2008          3918844.00          2761002.36          2717311.27          3918844.00          144.217707          98.4175642          100.000007        -0.783728617E-01      100.000000          100.000000          2761002.36          2717311.27    
10-2008          3075084.00          2752063.62          2716014.31          3075084.00          113.220464          98.6900987          100.000007        -0.382945374E-01      100.000000          100.000000          2752063.62          2716014.31    
11-2008          1510913.00          2747125.01          2739652.32          1510913.00          55.1498082          99.7279816          100.000007        -0.283833519E-01      100.000000          100.000000          2747125.01          2739652.32    
12-2008          1313025.00          2740165.71          2793616.87          1313025.00          47.0008975          101.950654          100.000007         0.584561170E-01      100.000000          100.000000          2740165.71          2793616.87    
 1-2009          1408546.00          2730387.09          2755472.96          1408546.00          51.1181210          100.918766          100.000007         0.109096238E-01      100.000000          100.000000          2730387.09          2755472.96    
 2-2009          1670217.00          2717989.95          2697001.88          1670217.00          61.9286554          99.2278091          100.000007        -0.556495198E-01      100.000000          100.000000          2717989.95          2697001.88    
 3-2009          2119035.00          2703756.24          2627389.34          2236774.00          80.6517316          97.1755259          94.7362205        -0.646051440E-01      100.000000          100.000000          2703756.24          2627389.34    
 4-2009          2919033.00          2688602.09          2702479.42          2765381.33          108.013145          100.516155          105.556263         0.680511447E-02      100.000000          100.000000          2688602.09          2702479.43    
 5-2009          3473328.00          2681811.87          2671222.56          3574096.06          130.027653          99.6051120          97.1806067         0.104644082E-01      100.000000          100.000000          2681811.87          2671221.72    
 6-2009          3442043.00          2684195.03          2623730.08          3345004.42          131.188914          97.7472155          102.901007        -0.240765061E-01      100.000000          100.000000          2684195.03          2623725.90    
 7-2009          4073097.00          2692409.90          2704756.46          4073097.00          150.590157          100.458569          100.000007         0.809414892E-01      100.000000          100.000000          2692409.90          2704756.46    
